,name,company,year,Price,kms_driven,fuel_type
103,Beat,Chevrolet,2015,150000,30000,Petrol
104,City 1.5,Honda,2010,285000,35000,Petrol
105,EcoSport Trend,Ford,2016,830000,24330,Diesel
106,i20 Asta,Hyundai,2009,210000,65480,Petrol
107,Suzuki Swift,Maruti,2013,340000,41000,Petrol
108,Indica V2,Tata,2006,90000,20000,Petrol
109,Motors Ambassador,Hindustan,2000,70000,200000,Diesel
110,Corolla Altis,Toyota,2010,289999,70000,Petrol
111,Corolla Altis,Toyota,2012,349999,59000,Petrol
112,Innova 2.5,Toyota,2012,849999,99000,Diesel
113,Jetta Highline,Volkswagen,2014,749999,46000,Diesel
114,Polo Comfortline,Volkswagen,2015,399999,2800,Petrol
115,Polo,Volkswagen,2014,274999,32000,Petrol
116,Scorpio,Mahindra,2015,984999,22000,Diesel
117,Sunny,Nissan,2012,224999,45000,Petrol
118,Elite i20,Hyundai,2018,599999,21000,Petrol
119,Kwid,Renault,2016,244999,11000,Petrol
120,Duster,Renault,2013,399999,41000,Diesel
121,Duster,Renault,2014,474999,50000,Diesel
122,Scorpio VLX,Mahindra,2011,499999,66000,Diesel
123,Suzuki Alto,Maruti,2018,310000,3000,Petrol
124,Spark LT,Chevrolet,2010,85000,45000,Petrol
125,Redi GO,Datsun,2016,245000,7000,Petrol
126,Suzuki Swift,Maruti,2010,189500,38500,Diesel
127,Punto Emotion,Fiat,2012,169500,37200,Diesel
128,Suzuki Swift,Maruti,2010,159500,43200,Diesel
129,Etios GD,Toyota,2013,275000,24800,Petrol
130,i20 Sportz,Hyundai,2014,370000,60000,Diesel
131,i10 Sportz,Hyundai,2010,168000,45872,Petrol
132,Beat LT,Chevrolet,2011,150000,40000,Diesel
133,Beat LS,Chevrolet,2011,145000,45000,Diesel
134,Beat LT,Chevrolet,2012,98500,38000,Diesel
135,Indigo CS,Tata,2011,85000,11400,Diesel
136,Corolla Altis,Toyota,2015,575000,42000,Petrol
137,City 1.5,Honda,2014,549000,39000,Petrol
138,Suzuki Swift,Maruti,2011,209000,47000,Diesel
139,Eon Era,Hyundai,2013,185000,27000,Petrol
140,Scorpio S10,Mahindra,2015,900000,97200,Diesel
141,XUV500,Mahindra,2014,699999,52000,Diesel
142,Fiesta,Ford,2011,274999,55000,Diesel
143,City,Honda,2015,599999,30000,Diesel
144,Suzuki Wagon,Maruti,2012,199999,44000,Petrol
145,City,Honda,2014,544999,45000,Diesel
146,i20,Hyundai,2009,199000,31000,Petrol
147,Indigo eCS,Tata,2016,320000,175430,Diesel
148,Fluidic Verna,Hyundai,2015,540000,38000,Diesel
149,Quanto C8,Mahindra,2013,340000,37000,Diesel
150,Petra ELX,Fiat,2008,75000,65000,Petrol
151,Suzuki Ciaz,Maruti,2016,700000,3350,Petrol
152,Suzuki Zen,Maruti,2000,55000,60000,Petrol
153,Creta 1.6,Hyundai,2017,895000,32000,Petrol
154,Scorpio SLX,Mahindra,2007,355000,75000,Diesel
155,Scorpio SLE,Mahindra,2012,565000,62000,Diesel
156,Innova 2.5,Toyota,2006,365000,73000,Diesel
157,Suzuki Alto,Maruti,2011,145000,41000,Petrol
158,Suzuki Wagon,Maruti,2011,210000,35000,Petrol
159,Suzuki Alto,Maruti,2013,125000,39000,Petrol
160,Suzuki Wagon,Maruti,2009,135000,45000,Petrol
161,Suzuki Swift,Maruti,2006,135000,45000,Petrol
162,Sumo Victa,Tata,2012,285000,65000,Diesel
163,Suzuki Wagon,Maruti,2010,145000,54870,Petrol
164,Suzuki Alto,Maruti,2010,135000,34580,Petrol
165,Passat Diesel,Volkswagen,2009,450000,97000,Diesel
166,Scala RxL,Renault,2015,375000,25000,Diesel
167,Grand i10,Hyundai,2014,365000,20000,Petrol
168,i20 Active,Hyundai,2015,500000,18000,Petrol
169,Xylo E4,Mahindra,2012,400000,35000,Diesel
170,Bolero SLE,Mahindra,2013,330000,80200,Diesel
171,Motors Force,Force,2015,580000,3200,Diesel
172,Suzuki SX4,Maruti,2012,265000,46000,Diesel
173,Suzuki Alto,Maruti,2015,219000,5000,Petrol
174,Etios,Toyota,2011,275000,36000,Diesel
175,Polo,Volkswagen,2015,330000,38000,Diesel
176,City ZX,Honda,2008,110000,45000,Petrol
177,Suzuki Wagon,Maruti,2006,80000,71200,Petrol
178,City VX,Honda,2016,519000,52000,Diesel
179,Thar CRDe,Mahindra,2016,730000,29000,Diesel
180,A4 1.8,Audi,2009,699000,47000,Petrol
181,Benz GLA,Mercedes,2015,2000000,20000,Diesel
182,Rover Freelander,Land,2015,2100000,30000,Diesel
183,Kwid RXT,Renault,2017,340000,5000,Petrol
184,Aria Pleasure,Tata,2014,390000,35000,Diesel
185,Benz B,Mercedes,2014,1400000,31000,Petrol
186,GO T,Datsun,2016,245000,7000,Petrol
187,Indigo eCS,Tata,2016,320000,175400,Diesel
188,Jazz VX,Honda,2016,450000,41000,Petrol
189,Amaze 1.2,Honda,2014,311000,33000,Petrol
190,City,Honda,2012,399999,45000,Petrol
191,City,Honda,2015,599999,39000,Diesel
192,Scorpio S4,Mahindra,2015,855000,30000,Diesel
193,i20 Active,Hyundai,2015,535000,37000,Diesel
194,Suzuki Ciaz,Maruti,2017,699000,14000,Petrol
195,Tavera Neo,Chevrolet,2013,375000,55000,Diesel
196,Eon Sportz,Hyundai,2012,178000,30000,Petrol
197,Sumo Gold,Tata,2013,300000,50000,Diesel
198,Suzuki Wagon,Maruti,2003,90000,45000,Petrol
199,Suzuki Esteem,Maruti,2006,95000,45000,Petrol
200,Suzuki Eeco,Maruti,2015,255000,9300,Petrol
201,Enjoy 1.4,Chevrolet,2013,245000,55000,Diesel
202,Suzuki Wagon,Maruti,2015,289999,22000,Petrol
203,Terrano XL,Nissan,2015,499999,60000,Diesel
204,Duster 85,Renault,2014,489999,59000,Diesel
205,Duster 85,Renault,2015,549999,19000,Diesel
206,Suzuki Dzire,Maruti,2013,380000,30000,Petrol
207,Kwid RXT,Renault,2018,325000,15000,Petrol
208,Suzuki Maruti,Maruti,2003,57000,56758,Petrol
209,Kwid 1.0,Renault,2018,349999,10000,Petrol
210,Scala RxL,Renault,2014,349999,49000,Diesel
211,Grand i10,Hyundai,2014,410000,41000,Petrol
212,Suzuki Swift,Maruti,2011,225000,45000,Petrol
213,Beat LS,Chevrolet,2010,120000,43000,Petrol
214,Santro Xing,Hyundai,2000,59000,56450,Petrol
215,Beat LS,Chevrolet,2010,80000,56000,Petrol
216,Beat LS,Chevrolet,2015,220000,32700,Petrol
217,EcoSport Titanium,Ford,2016,599000,30000,Diesel
218,Accent GLX,Hyundai,2006,80000,56000,Petrol
219,TUV300 T4,Mahindra,2016,675000,9000,Diesel
220,Indica V2,Tata,2008,150000,11000,Petrol
221,Indigo CS,Tata,2009,72500,46000,Diesel
222,Scorpio VLX,Mahindra,2004,230000,160000,Diesel
223,Accord,Honda,2009,175000,58559,Petrol
224,EcoSport Titanium,Ford,2014,520000,57000,Diesel
225,Suzuki Ertiga,Maruti,2015,524999,50000,Diesel
226,Amaze,Honda,2014,299999,37000,Petrol
227,Suzuki Dzire,Maruti,2012,299999,40000,Petrol
228,City,Honda,2011,284999,55000,Petrol
229,Scorpio 2.6,Mahindra,2007,220000,170000,Diesel
230,Suzuki Dzire,Maruti,2014,424999,55000,Diesel
231,City,Honda,2015,644999,39000,Petrol
232,Mobilio,Honda,2014,399999,44000,Petrol
233,Corolla Altis,Toyota,2009,199999,65000,Petrol
234,City,Honda,2014,584999,39000,Petrol
235,Laura,Skoda,2012,349999,44000,Diesel
236,Duster,Renault,2015,449999,49000,Diesel
237,Suzuki Ertiga,Maruti,2018,799999,9000,Diesel
238,Suzuki Dzire,Maruti,2015,444999,45000,Diesel
239,XUV500,Mahindra,2014,649999,47000,Diesel
240,Verna Fluidic,Hyundai,2012,444999,40000,Diesel
241,Suzuki Vitara,Maruti,2016,689999,29000,Diesel
242,Suzuki Wagon,Maruti,2016,344999,15000,Petrol
243,Scorpio,Mahindra,2015,944999,45000,Diesel
244,Amaze,Honda,2014,274999,35000,Petrol
245,XUV500,Mahindra,2013,689999,80000,Diesel
246,Scorpio,Mahindra,2013,574999,68000,Diesel
247,Laura,Skoda,2013,374999,50000,Diesel
248,Polo,Volkswagen,2010,199999,60000,Diesel
249,Elite i20,Hyundai,2016,549999,9000,Petrol
250,Manza Aura,Tata,2012,130000,72000,Diesel
251,Sail UVA,Chevrolet,2013,210000,60000,Petrol
252,Verna Fluidic,Hyundai,2013,401000,45000,Diesel
253,A4 2.0,Audi,2012,1350000,40000,Diesel
254,Elantra SX,Hyundai,2013,600000,20000,Petrol
255,Scorpio VLX,Mahindra,2013,610000,35000,Diesel
256,KUV100 K8,Mahindra,2016,400000,20000,Diesel
257,Grand i10,Hyundai,2017,524999,6821,Petrol
258,i20,Hyundai,2014,449999,23000,Petrol
259,Eon,Hyundai,2014,174999,14000,Petrol
260,i10,Hyundai,2012,244999,38000,Petrol
261,i20 Active,Hyundai,2015,574999,35000,Diesel
262,Redi GO,Datsun,2017,244999,22000,Petrol
263,Etios Liva,Toyota,2011,239999,41000,Petrol
264,Accent,Hyundai,2010,99999,45000,Petrol
265,Verna,Hyundai,2014,489999,44000,Diesel
266,Suzuki Swift,Maruti,2013,324999,45000,Diesel
267,Fortuner,Toyota,2011,1074999,52000,Diesel
268,i10 Sportz,Hyundai,2012,230000,34000,Petrol
269,Bolero Power,Mahindra,2018,699000,1800,Diesel
270,XUV500,Mahindra,2015,1000000,15000,Diesel
271,Spark LT,Chevrolet,2009,110000,44000,Petrol
272,XUV500,Mahindra,2016,1130000,72000,Diesel
273,Indigo eCS,Tata,2014,250000,40000,Diesel
274,Rapid Elegance,Skoda,2013,340000,48000,Diesel
275,Vista Quadrajet,Tata,2011,120000,90000,Diesel
276,Suzuki Alto,Maruti,2015,265000,12000,Petrol
277,Suzuki Zen,Maruti,2003,85000,69900,Petrol
278,i10 Magna,Hyundai,2011,175000,45000,Petrol
279,Suzuki Swift,Maruti,2016,350000,166000,Diesel
280,City ZX,Honda,2008,149000,42000,Petrol
281,Beat Diesel,Chevrolet,2017,150000,62000,Diesel
282,City 1.5,Honda,2010,225000,70000,Petrol
283,Verna 1.4,Hyundai,2014,375000,36000,Petrol
284,Suzuki Swift,Maruti,2014,335000,55000,Diesel
285,Elite i20,Hyundai,2015,450000,20000,Diesel
286,Suzuki Swift,Maruti,2012,225000,40000,Petrol
287,Suzuki Versa,Maruti,2004,80000,50000,Petrol
288,Indigo LX,Tata,2016,130000,104000,Diesel
289,Vento Konekt,Volkswagen,2011,245000,65000,Diesel
290,Benz C,Mercedes,2002,399000,41000,Petrol
291,Suzuki Ertiga,Maruti,2013,450000,90000,Diesel
292,City,Honda,2000,65000,80000,Petrol
293,Santro Xing,Hyundai,2006,75000,46000,Petrol
294,Suzuki Omni,Maruti,2001,70000,70000,Petrol
295,Sonata Transform,Hyundai,2017,190000,36469,Diesel
296,Elite i20,Hyundai,2018,600000,7800,Petrol
297,Suzuki Alto,Maruti,2017,240000,60000,Petrol
298,Suzuki Alto,Maruti,2011,155000,32000,Petrol
299,Jazz S,Honda,2009,169999,24695,Petrol
300,Grand i10,Hyundai,2017,450000,15141,Petrol
301,Scorpio W,Mahindra,2012,165000,65000,Diesel
302,Suzuki Alto,Maruti,2014,270000,22000,Petrol
303,Grand i10,Hyundai,2016,280000,59910,Diesel
304,XUV500 W8,Mahindra,2012,560000,100000,Diesel
305,Creta 1.6,Hyundai,2016,950000,25000,Petrol
306,i20 Magna,Hyundai,2013,310000,35000,Petrol
307,Duster 85,Renault,2015,715000,65000,Diesel
308,Grand i10,Hyundai,2014,340000,35000,Petrol
309,Brio V,Honda,2012,235000,33000,Petrol
310,TUV300 T4,Mahindra,2017,610000,68000,Diesel
311,Spark LS,Chevrolet,2010,95000,23000,Petrol
312,TUV300 T8,Mahindra,2018,1000000,4500,Diesel
313,Suzuki Swift,Maruti,2015,220000,129000,Diesel
314,Suzuki Alto,Maruti,2015,230000,5000,Petrol
315,Fortuner 3.0,Toyota,2010,940000,131000,Diesel
316,Manza ELAN,Tata,2010,155555,111111,Petrol
317,Benz A,Mercedes,2013,1500000,14000,Petrol
318,Beat LS,Chevrolet,2016,210000,22000,Diesel
319,EcoSport Trend,Ford,2013,495000,38000,Diesel
320,Indigo LS,Tata,2016,125000,70000,Diesel
321,i20 Magna,Hyundai,2010,195000,36000,Petrol
322,Vento Highline,Volkswagen,2015,550000,34000,Diesel
323,Kwid RXT,Renault,2015,270000,43000,Petrol
324,EcoSport Titanium,Ford,2014,500000,40000,Diesel
325,Amaze 1.5,Honda,2016,240000,160000,Diesel
326,Verna 1.6,Hyundai,2017,800000,12000,Petrol
327,5 Series,BMW,2011,1299000,49000,Diesel
328,Superb 1.8,Skoda,2011,530000,68000,Petrol
329,Q3 2.0,Audi,2013,1499000,37000,Diesel
330,Bolero DI,Mahindra,2012,220000,59466,Diesel
331,Figo Duratorq,Ford,2012,250000,99000,Diesel
332,Suzuki Wagon,Maruti,2018,395000,25500,Petrol
333,Logan Diesel,Mahindra,2009,130000,66000,Petrol
334,TUV300 T4,Mahindra,2016,540000,35000,Diesel
335,Elite i20,Hyundai,2015,405000,28000,Petrol
336,Elite i20,Hyundai,2015,400000,30000,Petrol
337,City SV,Honda,2017,760000,4000,Petrol
338,Suzuki Baleno,Maruti,2016,500000,28000,Petrol
339,Figo Petrol,Ford,2011,175000,75000,Petrol
340,City,Honda,2017,750000,3000,Petrol
341,Elite i20,Hyundai,2015,419000,20000,Petrol
342,Suzuki Versa,Maruti,2004,90000,50000,Petrol
343,Eon Era,Hyundai,2018,140000,2110,Petrol
344,Pajero Sport,Mitsubishi,2015,1540000,43222,Petrol
345,i10 Magna,Hyundai,2008,275000,100200,Petrol
346,Corolla H2,Toyota,2003,150000,100000,Petrol
347,Indigo CS,Tata,2015,123000,100000,Diesel
348,Xcent Base,Hyundai,2016,300000,140000,Diesel
349,Accent Executive,Hyundai,2009,165000,48000,Petrol
350,Suzuki Baleno,Maruti,2016,498000,22000,Petrol
351,Zest XE,Tata,2018,480000,103553,Diesel
352,Suzuki Dzire,Maruti,2017,488000,80000,Diesel
353,Sumo Gold,Tata,2014,250000,99000,Diesel
354,Corolla Altis,Toyota,2010,220000,58000,Petrol
355,Fortuner 3.0,Toyota,2015,1525000,120000,Diesel
356,XUV500 W6,Mahindra,2013,548900,49800,Diesel
357,Suzuki 800,Maruti,2001,55000,81876,Petrol
358,Suzuki Ertiga,Maruti,2015,550000,75000,Petrol
359,Mobilio S,Honda,2014,399000,44000,Diesel
360,Suzuki Ertiga,Maruti,2016,730000,55000,Diesel
361,Suzuki Vitara,Maruti,2017,725000,36000,Diesel
362,Verna 1.6,Hyundai,2016,195000,56000,Diesel
363,Suzuki Swift,Maruti,2007,130000,62000,Petrol
364,Suzuki Omni,Maruti,2014,190000,6020,Petrol
365,Amaze,Honda,2013,250000,55700,Diesel
366,Indica,Tata,2005,80000,42000,Petrol
367,Santro Xing,Hyundai,2003,120000,50000,Petrol
368,Suzuki Zen,Maruti,2010,149000,35000,Petrol
369,Suzuki Wagon,Maruti,2014,250000,18500,Petrol
370,Suzuki Wagon,Maruti,2007,120000,7000,Petrol
371,Brio VX,Honda,2017,450000,11000,Petrol
372,Suzuki Zen,Maruti,2003,99999,53000,Petrol
373,Suzuki Zen,Maruti,2008,135000,23000,Petrol
374,Suzuki Wagon,Maruti,2016,225000,35500,Diesel
375,Suzuki Alto,Maruti,2010,99000,22134,Petrol
376,Kwid RXT,Renault,2019,370000,1000,Petrol
377,Nano Lx,Tata,2010,52000,9000,Petrol
378,XE XE,Jaguar,2016,2800000,8500,Petrol
379,Eon Magna,Hyundai,2014,190000,35000,Petrol
380,City 1.5,Honda,2014,499000,22000,Petrol
381,Motors Ambassador,Hindustan,2002,90000,25000,Diesel
382,Suzuki Ritz,Maruti,2010,149000,40000,Petrol
383,Grand i10,Hyundai,2017,400000,20000,Petrol
384,Eon D,Hyundai,2016,120000,87000,Petrol
385,Suzuki Swift,Maruti,2015,250000,55000,Petrol
386,Suzuki Wagon,Maruti,2017,375000,23000,Petrol
387,Amaze 1.2,Honda,2014,381000,6000,Petrol
388,Suzuki Estilo,Maruti,2013,180000,65000,Petrol
389,Suzuki Vitara,Maruti,2016,580000,25000,Diesel
390,Suzuki Eeco,Maruti,2015,278000,39000,Petrol
391,Creta 1.6,Hyundai,2016,1000000,8000,Petrol
392,Scorpio Vlx,Mahindra,2013,690000,75000,Diesel
393,Suzuki Ertiga,Maruti,2012,480000,51000,Diesel
394,Lancer 1.8,Mitsubishi,2006,85000,50000,Petrol
395,Suzuki Alto,Maruti,2015,90000,55800,Petrol
396,Grand i10,Hyundai,2015,340000,53000,Petrol
397,Eon D,Hyundai,2018,260000,25000,Petrol
398,Fiesta SXi,Ford,2009,250000,56400,Petrol
399,Suzuki Ritz,Maruti,2010,180000,72160,Diesel
400,Verna Fluidic,Hyundai,2012,350000,10000,Diesel
401,Suzuki Wagon,Maruti,2006,90001,48000,Petrol
402,Suzuki Estilo,Maruti,2007,115000,36000,Petrol
403,A6 2.0,Audi,2012,1599000,11500,Diesel
404,Suzuki Wagon,Maruti,2003,130000,133000,Petrol
405,Suzuki Wagon,Maruti,2009,159000,27000,Petrol
406,Suzuki Wagon,Maruti,2009,160000,35000,Petrol
407,Suzuki Alto,Maruti,2010,110000,55000,Petrol
408,Suzuki Baleno,Maruti,2016,425000,40000,Petrol
409,Verna 1.6,Hyundai,2019,900000,2000,Petrol
410,Suzuki Swift,Maruti,2009,150000,45000,Petrol
411,Getz Prime,Hyundai,2009,110000,20000,Petrol
412,Santro,Hyundai,2000,51999,88000,Petrol
413,Getz Prime,Hyundai,2009,115000,20000,Petrol
414,Beat PS,Chevrolet,2012,215000,65422,Diesel
415,EcoSport Trend,Ford,2017,580000,10000,Petrol
416,Suzuki Dzire,Maruti,2013,380000,35000,Petrol
417,Fluidic Verna,Hyundai,2013,350000,117000,Diesel
418,X1 xDrive20d,BMW,2011,1150000,72000,Diesel
419,i20 Asta,Hyundai,2010,300000,10750,Petrol
420,City 1.5,Honda,2009,269000,55000,Petrol
421,Nano,Tata,2013,60000,6800,Petrol
422,Cruze LTZ,Chevrolet,2014,400000,41000,Diesel
423,Verna Fluidic,Hyundai,2015,430000,73000,Diesel
424,Suzuki Swift,Maruti,2011,140000,65000,Diesel
425,XUV500 W10,Mahindra,2018,1299000,40000,Diesel
426,Suzuki Alto,Maruti,2014,199000,37000,Petrol
427,Accent GLE,Hyundai,2006,90000,55000,Petrol
428,Motors One,Force,2013,550000,140000,Diesel
429,Suzuki Alto,Maruti,2019,265000,9800,Petrol
430,Spark 1.0,Chevrolet,2011,100000,27000,Petrol
431,i10,Hyundai,2009,215000,27000,Petrol
432,Etios Liva,Toyota,2012,380000,20000,Diesel
433,Duster 85PS,Renault,2013,401919,57923,Diesel
434,Enjoy,Chevrolet,2014,490000,30201,Diesel
435,Suzuki Alto,Maruti,2017,280000,6200,Petrol
436,5 Series,BMW,2009,650000,37518,Petrol
437,Etios Liva,Toyota,2014,160000,24652,Petrol
438,Beat LS,Chevrolet,2016,225000,95000,Diesel
439,Cruze LTZ,Chevrolet,2011,350000,35000,Diesel
440,Wrangler Unlimited,Jeep,2015,950000,3528,Diesel
441,Suzuki Ertiga,Maruti,2013,485000,52500,Diesel
442,Verna VGT,Hyundai,2010,205000,47900,Diesel
443,Suzuki Omni,Maruti,2012,160000,14000,Petrol
444,Suzuki Celerio,Maruti,2018,310000,37000,Petrol
445,Zest Quadrajet,Tata,2017,180000,90000,Diesel
446,XUV500 W6,Mahindra,2013,549900,52800,Diesel
447,Indigo CS,Tata,2016,150000,104000,Diesel
448,i10 Era,Hyundai,2011,175000,30000,Petrol
449,Indigo eCS,Tata,2014,95000,195000,Diesel
450,Indigo LX,Tata,2016,230000,104000,Diesel
451,Indigo eCS,Tata,2016,230000,104000,Diesel
452,Indigo Marina,Tata,2004,180000,70000,Diesel
453,Xcent SX,Hyundai,2015,400000,43000,Diesel
454,Eon Magna,Hyundai,2013,185000,23000,Petrol
455,Duster 85,Renault,2015,385000,51000,Diesel
456,Suzuki Alto,Maruti,2009,90000,62000,Petrol
457,Duster 110,Renault,2013,435000,39000,Diesel
458,Suzuki Wagon,Maruti,2010,225000,40000,Petrol
459,Suzuki Swift,Maruti,2006,189700,48247,Petrol
460,Suzuki Ertiga,Maruti,2012,389700,39000,Diesel
461,Suzuki Swift,Maruti,2014,365000,23000,Petrol
462,Suzuki Alto,Maruti,2017,360000,9400,Petrol
463,i20 Magna,Hyundai,2010,210000,50000,Petrol
464,i10 Magna,Hyundai,2009,170000,75000,Petrol
465,Zest XE,Tata,2017,380000,70000,Diesel
466,Xylo E8,Mahindra,2009,295000,64000,Diesel
467,Corolla Altis,Toyota,2010,185000,55000,Petrol
468,Manza Aqua,Tata,2014,160000,200000,Diesel
469,Kwid 1.0,Renault,2018,290000,2137,Petrol
470,Venture EX,Tata,2013,100000,30000,Diesel
471,Suzuki Swift,Maruti,2014,315000,44000,Petrol
472,Octavia Classic,Skoda,2006,114990,65000,Diesel
473,Beat Diesel,Chevrolet,2011,125000,56000,Diesel
474,Sumo Gold,Tata,2012,210000,75000,Diesel
475,Verna 1.6,Hyundai,2018,855000,42000,Diesel
476,Scorpio 2.6,Mahindra,2007,260000,56000,Diesel
477,Suzuki Zen,Maruti,2002,95000,10544,Petrol
478,Suzuki Swift,Maruti,2011,255000,64000,Petrol
479,Scorpio SLX,Mahindra,2008,300000,70000,Diesel
480,Grand i10,Hyundai,2014,340000,25000,Petrol
481,Elite i20,Hyundai,2017,550000,15000,Petrol
482,Ikon 1.6,Ford,2003,60000,50000,Petrol
483,Innova 2.5,Toyota,2011,750000,147000,Diesel
